Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AM Rahane,17,23,8,7,16,0,True,caught,MM Sharma
SR Watson,30,28,12,20,8,0,True,caught,RA Jadeja
SPD Smith,6,4,3,4,0,0,True,bowled,RA Jadeja
KK Nair,11,10,5,6,4,0,True,caught,RA Jadeja
DJ Hooda,13,15,4,11,4,0,True,caught,RA Jadeja
SV Samson,17,26,5,10,4,12,True,caught,DJ Bravo
JP Faulkner,12,16,3,8,8,0,True,caught,MM Sharma
CH Morris,9,16,2,10,0,6,False,,
R Bhatia,1,0,1,0,0,0,True,caught,MM Sharma
Ankit Sharma,1,0,1,0,0,0,True,caught,DJ Bravo
PV Tambe,1,1,0,1,0,0,False,,
