Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SV Samson,14,5,13,1,4,0,True,caught,Sandeep Sharma
SW Billings,2,0,2,0,0,0,True,caught,Sandeep Sharma
KK Nair,10,11,4,5,0,6,True,bowled,AR Patel
SS Iyer,7,6,4,2,4,0,True,caught and bowled,Sandeep Sharma
RR Pant,6,3,4,3,0,0,True,lbw,GJ Maxwell
CJ Anderson,25,18,15,12,0,6,True,bowled,VR Aaron
CH Morris,5,2,3,2,0,0,True,caught and bowled,AR Patel
K Rabada,20,11,14,7,4,0,True,caught,Sandeep Sharma
A Mishra,9,4,7,4,0,0,False,,
Mohammed Shami,4,2,2,2,0,0,True,caught,VR Aaron
S Nadeem,1,0,1,0,0,0,True,caught and bowled,MM Sharma
