Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AM Rahane,11,16,6,6,4,6,True,bowled,DL Chahar
H Klaasen,7,7,4,3,4,0,True,bowled,SN Thakur
SV Samson,3,2,2,2,0,0,True,caught,DL Chahar
BA Stokes,37,45,11,27,12,6,True,caught,Imran Tahir
JC Buttler,17,22,8,12,4,6,True,caught,DJ Bravo
RA Tripathi,5,5,3,5,0,0,True,caught,DJ Bravo
STR Binny,8,10,2,6,4,0,True,caught and bowled,SN Thakur
K Gowtham,2,1,1,1,0,0,True,caught,SR Watson
S Gopal,10,8,3,8,0,0,False,,
JD Unadkat,10,16,3,4,12,0,True,bowled,KV Sharma
B Laughlin,1,0,1,0,0,0,True,caught,KV Sharma
