Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
V Kohli,11,6,7,6,0,0,True,caught,Harbhajan Singh
PA Patel,32,29,15,21,8,0,True,caught,DJ Bravo
MM Ali,8,9,4,3,0,6,True,caught and bowled,Harbhajan Singh
AB de Villiers,10,9,4,9,0,0,True,caught,Harbhajan Singh
SO Hetmyer,2,0,2,0,0,0,True,run out,
S Dube,5,2,3,2,0,0,True,caught,Imran Tahir
C de Grandhomme,6,4,5,0,4,0,True,caught,RA Jadeja
NA Saini,3,2,1,2,0,0,True,caught,Imran Tahir
YS Chahal,12,4,10,4,0,0,True,caught,Imran Tahir
UT Yadav,10,1,9,1,0,0,True,bowled,RA Jadeja
Mohammed Siraj,1,0,1,0,0,0,False,,
