Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SP Narine,6,0,6,0,0,0,True,caught and bowled,JD Unadkat
G Gambhir,17,24,11,6,12,6,True,caught,Washington Sundar
SP Jackson,9,10,5,2,8,0,True,hit wicket,Washington Sundar
MK Pandey,32,37,12,15,16,6,True,caught,DT Christian
YK Pathan,9,4,5,4,0,0,True,lbw,Imran Tahir
C de Grandhomme,19,36,2,12,12,12,True,caught,JD Unadkat
SA Yadav,16,30,2,10,8,12,False,,
CR Woakes,3,1,2,1,0,0,True,run out,
NM Coulter-Nile,5,6,4,0,0,6,True,caught,BA Stokes
UT Yadav,2,2,0,2,0,0,False,,
