Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
NM Coulter-Nile,3,39,10,3,24,12,2,0
UT Yadav,4,23,12,9,8,6,5,1
CR Woakes,4,18,14,8,4,6,1,3
SP Narine,4,28,9,12,16,0,0,1
Kuldeep Yadav,4,35,10,11,0,24,0,1
C de Grandhomme,1,7,0,1,0,6,0,0
