Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AC Gilchrist,9,5,4,5,0,0,True,caught,SP Narine
Mandeep Singh,32,38,13,20,12,6,True,caught,Shakib Al Hasan
SE Marsh,5,1,6,1,0,0,True,bowled,SP Narine
DJ Hussey,29,32,12,22,4,6,True,run out,
P Dogra,11,6,6,6,0,0,True,caught,R Bhatia
Bipul Sharma,11,12,4,6,0,6,True,caught,SP Narine
AD Mascarenhas,1,0,1,0,0,0,True,caught,R Bhatia
PP Chawla,8,13,1,7,0,6,False,,
P Kumar,1,0,1,0,0,0,True,bowled,SP Narine
Harmeet Singh,6,14,2,2,12,0,True,caught,SP Narine
BA Bhatt,2,6,1,0,0,6,False,,
