Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DPMD Jayawardene,36,55,12,27,16,12,True,bowled,R Ashwin
DA Warner,7,3,4,3,0,0,True,caught,BW Hilfenhaus
V Sehwag,6,1,7,1,0,0,True,caught,JA Morkel
LRPL Taylor,14,24,4,8,4,12,True,caught,DJ Bravo
AD Russell,10,16,3,8,8,0,True,caught,R Ashwin
NV Ojha,4,7,3,1,0,6,True,caught,SB Jakati
Y Venugopal Rao,7,10,3,4,0,6,True,run out,
P Negi,6,8,3,2,0,6,False,,
Sunny Gupta,1,0,1,0,0,0,True,stumped,SB Jakati
UT Yadav,4,1,3,1,0,0,True,bowled,R Ashwin
VR Aaron,2,0,2,0,0,0,True,run out,
