Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
Sunny Gupta,3,45,1,11,16,18,2,0
UT Yadav,4,27,7,15,12,0,0,1
AD Russell,4,30,9,14,16,0,1,0
VR Aaron,4,60,9,8,40,12,3,2
P Negi,4,33,6,17,4,12,0,1
V Sehwag,1,21,1,1,8,12,0,0
