Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
GC Smith,11,2,10,2,0,0,True,caught,P Kumar
SA Asnodkar,2,0,3,0,0,0,True,caught,P Kumar
Niraj Patel,16,4,15,4,0,0,True,caught,JD Ryder
T Henderson,14,11,10,5,0,6,True,bowled,JD Ryder
YK Pathan,14,11,8,7,4,0,True,caught,A Kumble
AD Mascarenhas,1,0,1,0,0,0,True,run out,
RA Jadeja,10,11,6,5,0,6,True,caught,A Kumble
SK Warne,9,3,7,3,0,0,True,stumped,A Kumble
M Rawat,6,4,3,4,0,0,False,,
MM Patel,2,0,2,0,0,0,True,caught,A Kumble
Kamran Khan,5,3,3,3,0,0,True,caught,A Kumble
