Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
CA Lynn,8,4,5,4,0,0,True,caught,JJ Bumrah
SP Narine,8,10,5,4,0,6,True,stumped,KV Sharma
G Gambhir,15,12,10,4,8,0,True,caught,KV Sharma
RV Uthappa,3,1,2,1,0,0,True,lbw,JJ Bumrah
IR Jaggi,30,28,16,16,12,0,True,caught,KV Sharma
C de Grandhomme,1,0,1,0,0,0,True,lbw,KV Sharma
SA Yadav,25,31,8,17,8,6,True,caught,JJ Bumrah
PP Chawla,6,2,4,2,0,0,True,caught,MG Johnson
NM Coulter-Nile,4,6,3,0,0,6,True,caught,MG Johnson
UT Yadav,3,2,1,2,0,0,False,,
AS Rajpoot,7,4,6,0,4,0,True,bowled,SL Malinga
