Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AM Nayar,7,5,6,1,4,0,True,run out,
AM Rahane,12,15,6,7,8,0,True,caught,R Ashwin
SV Samson,16,16,11,4,0,12,True,caught and bowled,RA Jadeja
SR Watson,6,7,4,1,0,6,True,caught,RA Jadeja
SPD Smith,20,19,8,15,4,0,True,caught,RA Jadeja
STR Binny,11,8,5,8,0,0,True,caught,MM Sharma
R Bhatia,20,23,7,13,4,6,True,caught,BW Hilfenhaus
JP Faulkner,2,4,1,0,4,0,True,caught,IC Pandey
TG Southee,4,4,3,0,4,0,True,bowled,RA Jadeja
DS Kulkarni,19,28,4,16,0,12,False,,
PV Tambe,2,2,0,2,0,0,True,run out,
