Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
PA Patel,5,1,4,1,0,0,True,caught,MM Patel
S Dhawan,24,41,10,9,8,24,True,caught,SL Malinga
B Chipli,6,1,5,1,0,0,True,caught,MM Patel
DT Christian,36,39,13,23,4,12,True,caught,MM Patel
KC Sangakkara,18,14,9,10,4,0,True,bowled,MM Patel
CL White,22,30,6,14,4,12,False,,
DB Ravi Teja,2,4,1,0,4,0,True,bowled,SL Malinga
A Mishra,2,0,2,0,0,0,True,caught,SL Malinga
DW Steyn,2,2,1,2,0,0,True,bowled,KA Pollard
Ankit Sharma,2,1,1,1,0,0,True,caught,KA Pollard
