Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
GC Smith,9,5,5,5,0,0,True,stumped,SM Pollock
SA Asnodkar,35,39,16,21,12,6,True,caught,RR Raje
YK Pathan,3,1,2,1,0,0,True,bowled,A Nehra
SR Watson,19,32,8,10,16,6,True,bowled,DJ Bravo
M Kaif,7,4,4,4,0,0,True,caught,RR Raje
RA Jadeja,1,0,1,0,0,0,True,caught,DS Kulkarni
SK Warne,7,7,4,3,4,0,True,caught,DS Kulkarni
Sohail Tanvir,6,6,3,2,4,0,True,bowled,A Nehra
M Rawat,5,1,4,1,0,0,True,caught,A Nehra
SK Trivedi,3,1,2,1,0,0,True,bowled,DJ Bravo
MM Patel,1,0,1,0,0,0,False,,
