Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
Sandeep Sharma,4,15,14,11,4,0,0,1
Shakib Al Hasan,4,30,4,22,8,0,0,0
Basil Thampi,2,26,2,8,12,6,0,1
S Kaul,4,23,8,19,4,0,1,2
Rashid Khan,4,31,4,21,4,6,0,1
YK Pathan,2,14,2,10,4,0,0,1
