Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AM Rahane,3,0,3,0,0,0,True,caught,B Kumar
SV Samson,16,16,9,6,4,6,True,bowled,KV Sharma
KK Nair,9,12,6,0,12,0,True,caught,DW Steyn
SR Watson,10,11,6,7,4,0,True,caught,MC Henriques
STR Binny,19,12,9,12,0,0,True,run out,
SPD Smith,32,22,15,22,0,0,True,caught,DW Steyn
R Bhatia,7,4,4,4,0,0,True,caught,B Kumar
JP Faulkner,6,4,2,4,0,0,True,caught,B Kumar
KW Richardson,2,1,1,1,0,0,True,caught and bowled,B Kumar
DS Kulkarni,6,7,4,3,4,0,False,,
PV Tambe,7,3,4,3,0,0,True,caught,IK Pathan
