Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
JH Kallis,41,54,10,28,20,6,True,caught,PJ Sangwan
CL White,11,4,7,4,0,0,True,caught,A Mishra
KP Pietersen,18,16,9,10,0,6,True,bowled,PJ Sangwan
RV Uthappa,9,12,4,6,0,6,True,caught,PJ Sangwan
LRPL Taylor,10,22,4,4,0,18,True,lbw,R Bhatia
V Kohli,11,13,1,9,4,0,True,bowled,MF Maharoof
R Dravid,9,14,2,6,8,0,True,caught,A Mishra
R Vinay Kumar,3,3,1,3,0,0,True,bowled,DL Vettori
A Mithun,4,5,2,1,4,0,True,bowled,A Mishra
KP Appanna,2,1,1,1,0,0,False,,
A Kumble,1,1,0,1,0,0,False,,
