Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
R Rampaul,4,15,16,11,4,0,3,1
A Mithun,4,36,10,12,24,0,1,1
JD Unadkat,4,27,10,11,16,0,0,0
R Vinay Kumar,4,16,12,12,4,0,1,2
M Kartik,4,17,15,7,4,6,0,1
