Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
CA Pujara,14,5,9,5,0,0,True,caught,SMSM Senanayake
CH Gayle,35,33,14,23,4,6,True,stumped,SP Narine
V Kohli,14,17,5,9,8,0,True,bowled,JH Kallis
AB de Villiers,22,28,4,18,4,6,True,caught,L Balaji
MC Henriques,11,11,3,11,0,0,True,caught,JH Kallis
SS Tiwary,3,1,2,1,0,0,True,lbw,SP Narine
R Vinay Kumar,12,14,5,10,4,0,False,,
R Rampaul,3,0,3,0,0,0,True,lbw,SP Narine
A Mithun,2,2,1,2,0,0,True,caught,SP Narine
M Kartik,1,0,1,0,0,0,True,bowled,L Balaji
JD Unadkat,1,1,0,1,0,0,False,,
