Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SP Narine,17,34,7,4,24,6,True,caught,STR Binny
G Gambhir,11,14,7,4,4,6,True,caught,TS Mills
RV Uthappa,9,11,4,3,8,0,True,lbw,S Badree
MK Pandey,16,15,5,11,4,0,True,caught,YS Chahal
YK Pathan,8,8,3,8,0,0,True,stumped,YS Chahal
SA Yadav,19,15,8,11,4,0,True,caught,P Negi
C de Grandhomme,2,0,2,0,0,0,True,caught,YS Chahal
CR Woakes,21,18,12,6,12,0,True,caught,TS Mills
NM Coulter-Nile,3,2,2,2,0,0,True,caught,P Negi
Kuldeep Yadav,7,4,4,4,0,0,True,bowled,S Aravind
UT Yadav,4,2,3,2,0,0,False,,
