Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
CH Gayle,14,7,14,3,4,0,True,caught,CR Woakes
V Kohli,1,0,1,0,0,0,True,caught,NM Coulter-Nile
Mandeep Singh,3,1,2,1,0,0,True,caught,UT Yadav
AB de Villiers,6,8,4,0,8,0,True,caught,NM Coulter-Nile
KM Jadhav,6,9,5,1,8,0,True,caught,NM Coulter-Nile
STR Binny,9,8,7,0,8,0,True,caught,CR Woakes
S Badree,3,0,3,0,0,0,True,lbw,CR Woakes
P Negi,3,2,2,2,0,0,True,lbw,C de Grandhomme
TS Mills,5,2,3,2,0,0,True,caught,C de Grandhomme
S Aravind,4,5,2,1,4,0,False,,
YS Chahal,2,0,2,0,0,0,True,caught,C de Grandhomme
