Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
CA Pujara,7,8,4,4,4,0,True,run out,
V Sehwag,29,37,11,19,12,6,True,bowled,PP Chawla
WP Saha,10,14,5,4,4,6,True,lbw,JH Kallis
GJ Maxwell,11,15,5,7,8,0,True,bowled,M Morkel
DA Miller,10,14,4,6,8,0,True,caught,PP Chawla
GJ Bailey,15,11,7,7,4,0,True,caught,PP Chawla
R Dhawan,18,19,8,11,8,0,False,,
AR Patel,10,7,3,7,0,0,True,stumped,SP Narine
MG Johnson,1,0,1,0,0,0,True,bowled,SP Narine
L Balaji,2,0,2,0,0,0,True,lbw,SP Narine
Sandeep Sharma,4,2,3,2,0,0,False,,
