Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
MK Pandey,10,8,8,4,4,0,True,lbw,Sandeep Sharma
JH Kallis,11,9,8,1,8,0,True,caught,L Balaji
G Gambhir,5,1,4,1,0,0,True,caught,Sandeep Sharma
CA Lynn,18,13,13,5,8,0,True,bowled,AR Patel
RV Uthappa,24,19,16,11,8,0,True,run out,
YK Pathan,5,3,2,3,0,0,True,lbw,R Dhawan
SA Yadav,17,34,3,16,12,6,True,caught,Sandeep Sharma
PP Chawla,1,0,2,0,0,0,True,stumped,AR Patel
SP Narine,7,6,3,6,0,0,True,bowled,MG Johnson
UT Yadav,4,2,2,2,0,0,True,bowled,MG Johnson
M Morkel,3,4,1,4,0,0,False,,
