Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
MA Agarwal,11,9,6,5,4,0,True,caught,AD Russell
Q de Kock,10,17,6,7,4,6,True,caught,AD Russell
SS Iyer,3,0,3,0,0,0,True,lbw,AD Russell
KK Nair,8,3,7,3,0,0,True,caught,JW Hastings
SV Samson,13,15,4,7,8,0,True,caught,GB Hogg
P Negi,19,11,14,5,0,6,True,stumped,GB Hogg
CR Brathwaite,4,6,4,0,0,6,True,lbw,PP Chawla
CH Morris,9,11,5,3,8,0,True,bowled,PP Chawla
NM Coulter-Nile,11,7,7,3,4,0,False,,
A Mishra,9,3,6,3,0,0,True,caught,GB Hogg
Z Khan,9,4,8,0,4,0,True,caught,JW Hastings
