Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AM Rahane,45,60,14,28,32,0,True,stumped,T Shamsi
F du Plessis,3,2,2,2,0,0,True,caught,KW Richardson
KP Pietersen,1,0,1,0,0,0,True,retired hurt,KW Richardson
SPD Smith,3,4,3,0,4,0,True,run out,
MS Dhoni,38,41,11,29,12,0,True,caught,HV Patel
NLTC Perera,13,34,6,4,12,18,True,caught,SR Watson
R Bhatia,11,21,1,11,4,6,True,caught,KW Richardson
R Ashwin,1,0,1,0,0,0,True,caught,SR Watson
Ankit Sharma,3,3,1,3,0,0,False,,
M Ashwin,1,0,1,0,0,0,True,caught,KW Richardson
