Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
S Sandeep Warrier,4,31,9,11,20,0,0,2
HF Gurney,4,41,8,17,12,12,1,1
SP Narine,4,29,6,19,4,6,0,0
AD Russell,3,28,9,6,16,6,2,1
PP Chawla,4,43,4,17,8,18,0,0
N Rana,1,8,3,2,0,6,0,1
