Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AJ Finch,5,4,5,0,4,0,True,caught,Iqbal Abdulla
BB McCullum,4,1,3,1,0,0,True,caught,Iqbal Abdulla
KD Karthik,29,26,13,18,8,0,True,bowled,CJ Jordan
SK Raina,9,1,8,1,0,0,True,caught,SR Watson
DR Smith,41,73,13,17,20,36,True,caught,YS Chahal
RA Jadeja,7,3,5,3,0,0,True,caught,SR Watson
DJ Bravo,6,8,2,4,4,0,True,bowled,SR Watson
ER Dwivedi,8,19,3,3,4,12,True,caught,SR Watson
P Kumar,2,1,2,1,0,0,True,bowled,CJ Jordan
DS Kulkarni,4,10,0,2,8,0,True,run out,
SB Jakati,2,1,1,1,0,0,False,,
