Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
JH Kallis,13,10,10,4,0,6,True,caught,MM Patel
W Jaffer,9,8,5,4,4,0,True,caught,A Singh
RV Uthappa,20,17,14,5,12,0,True,lbw,RA Jadeja
R Dravid,2,0,2,0,0,0,True,caught,LA Carseldine
V Kohli,22,15,10,11,4,0,True,caught,RA Jadeja
MV Boucher,8,6,3,6,0,0,True,bowled,RA Jadeja
RE van der Merwe,16,15,5,11,4,0,True,bowled,A Singh
D du Preez,13,10,5,10,0,0,True,caught,A Singh
P Kumar,4,7,2,1,0,6,True,run out,
R Vinay Kumar,13,12,7,6,0,6,True,bowled,A Singh
