Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
CA Pujara,9,6,8,0,0,6,True,caught,JH Kallis
CH Gayle,8,2,6,2,0,0,True,caught,JH Kallis
V Kohli,14,6,11,2,4,0,True,caught,L Balaji
AB de Villiers,10,10,4,6,4,0,True,bowled,L Balaji
SS Tiwary,19,18,6,14,4,0,True,caught,RN ten Doeschate
MA Agarwal,6,5,1,5,0,0,True,caught,L Balaji
DL Vettori,11,20,7,2,12,6,True,bowled,L Balaji
R Vinay Kumar,25,25,11,19,0,6,True,caught,Shakib Al Hasan
HV Patel,9,10,4,6,4,0,True,bowled,Shakib Al Hasan
Z Khan,7,11,0,7,4,0,False,,
