Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
RV Uthappa,22,24,14,10,8,6,True,caught,NLTC Perera
MK Pandey,29,15,17,15,0,0,True,caught,A Mishra
MN Samuels,9,5,7,1,4,0,True,caught,NLTC Perera
Yuvraj Singh,5,2,3,2,0,0,True,stumped,A Mishra
LRPL Taylor,19,19,5,19,0,0,True,bowled,A Ashish Reddy
AM Nayar,14,19,4,11,8,0,True,caught,A Mishra
MR Marsh,3,7,1,1,0,6,True,run out,
AD Mathews,6,8,1,4,4,0,False,,
B Kumar,3,3,1,3,0,0,True,bowled,DW Steyn
R Sharma,1,0,1,0,0,0,True,bowled,DW Steyn
AB Dinda,2,0,2,0,0,0,True,caught,DW Steyn
