Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
PA Patel,8,11,3,3,8,0,True,caught,Mohammad Nabi
SO Hetmyer,9,9,5,3,0,6,True,stumped,Mohammad Nabi
V Kohli,10,3,7,3,0,0,True,caught,Sandeep Sharma
AB de Villiers,2,1,1,1,0,0,True,bowled,Mohammad Nabi
MM Ali,7,2,6,2,0,0,True,run out,
S Dube,7,5,5,1,4,0,True,caught,Mohammad Nabi
C de Grandhomme,32,37,15,13,12,12,True,run out,
P Ray Barman,24,19,12,11,8,0,True,caught,Sandeep Sharma
UT Yadav,9,14,5,4,4,6,True,run out,
Mohammed Siraj,7,3,6,3,0,0,False,,
YS Chahal,3,1,2,1,0,0,True,caught,Sandeep Sharma
