Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
KL Rahul,29,66,7,16,8,42,True,bowled,SP Narine
CH Gayle,17,21,7,7,8,6,True,caught,AD Russell
MA Agarwal,1,0,1,0,0,0,True,caught,AD Russell
KK Nair,6,3,3,3,0,0,True,caught,AD Russell
AJ Finch,20,34,2,16,0,18,True,caught,JPR Scantlebury-Searles
AR Patel,11,19,4,5,8,6,True,caught,Kuldeep Yadav
R Ashwin,22,45,8,11,16,18,True,lbw,M Prasidh Krishna
AJ Tye,9,14,5,4,4,6,True,caught,M Prasidh Krishna
BB Sran,1,1,0,1,0,0,False,,
MM Sharma,3,4,2,0,4,0,False,,
