Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
ST Jayasuriya,10,20,9,4,4,12,True,lbw,S Sreesanth
SR Tendulkar,43,65,20,17,48,0,True,run out,
DR Smith,15,20,9,6,8,6,True,run out,
AM Nayar,17,27,5,11,4,12,True,caught,PP Chawla
RV Uthappa,11,9,7,9,0,0,True,caught,Yuvraj Singh
SM Pollock,1,0,1,0,0,0,True,caught,Yuvraj Singh
PR Shah,5,5,2,5,0,0,True,caught,S Sreesanth
SD Chitnis,5,15,0,5,4,6,True,run out,
A Nehra,0,0,1,0,0,0,True,run out,
CRD Fernando,1,2,0,2,0,0,False,,
VS Yeligati,2,2,1,2,0,0,True,run out,
