Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
Ishan Kishan,23,31,14,7,12,12,True,caught,Imran Tahir
BB McCullum,26,45,8,13,20,12,True,caught,SN Thakur
SK Raina,8,8,2,8,0,0,True,run out,
AJ Finch,6,13,2,3,4,6,True,caught and bowled,Imran Tahir
DR Smith,1,0,1,0,0,0,True,bowled,Imran Tahir
KD Karthik,23,29,9,17,12,0,True,run out,
RA Jadeja,12,19,4,7,12,0,True,caught,DT Christian
JP Faulkner,7,6,2,6,0,0,True,caught,JD Unadkat
PJ Sangwan,2,1,1,1,0,0,True,caught,JD Unadkat
Basil Thampi,5,2,3,2,0,0,False,,
Ankit Soni,1,0,1,0,0,0,True,bowled,JD Unadkat
