Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AC Gilchrist,21,23,14,7,4,12,True,caught,M Kartik
Y Venugopal Rao,12,14,8,10,4,0,True,caught,I Sharma
VVS Laxman,6,0,6,0,0,0,True,caught,AB Dinda
A Symonds,38,32,26,12,8,12,True,caught,AB Agarkar
RG Sharma,3,0,3,0,0,0,True,caught,M Kartik
SB Styris,6,6,4,2,4,0,True,bowled,Mohammad Hafeez
AS Yadav,9,10,5,4,0,6,True,caught,DJ Hussey
SB Bangar,10,14,4,4,4,6,True,caught,M Kartik
WPUJC Vaas,1,0,1,0,0,0,True,caught,AB Agarkar
RP Singh,2,1,1,1,0,0,False,,
