Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
MJ Lumb,10,15,6,1,8,6,True,caught,RP Singh
NV Ojha,5,1,5,1,0,0,True,caught,RP Singh
SR Watson,36,58,10,28,12,18,True,caught,RP Singh
FY Fazal,27,36,9,20,16,0,True,caught,PP Ojha
YK Pathan,7,5,3,5,0,0,True,caught,RJ Harris
AA Jhunjhunwala,8,11,2,7,4,0,True,caught,Harmeet Singh
AS Raut,3,0,3,0,0,0,True,lbw,Harmeet Singh
SK Warne,4,1,3,1,0,0,True,run out,
M Morkel,7,7,3,3,4,0,False,,
AP Dole,4,4,3,0,4,0,True,caught,RJ Harris
SK Trivedi,6,9,4,1,8,0,True,bowled,DR Smith
