Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
K Gowtham,3,39,3,11,16,12,0,0
DS Kulkarni,4,38,6,16,16,6,0,1
JC Archer,4,38,8,14,12,12,2,3
JD Unadkat,4,34,8,16,12,6,2,1
S Gopal,4,21,10,15,0,6,0,0
LS Livingstone,1,13,3,1,0,12,0,0
