Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
JD Ryder,11,7,8,3,4,0,True,run out,
SC Ganguly,9,16,3,4,12,0,True,caught,AD Mascarenhas
MN Samuels,11,2,11,2,0,0,True,bowled,AD Mascarenhas
RV Uthappa,16,17,6,11,0,6,True,caught,AD Mascarenhas
AD Mathews,9,11,4,3,8,0,True,lbw,Harmeet Singh
M Manhas,27,31,14,13,12,6,True,bowled,AD Mascarenhas
SPD Smith,13,13,5,9,4,0,True,bowled,PP Chawla
MK Pandey,3,0,3,0,0,0,True,caught,Harmeet Singh
R Sharma,4,2,3,2,0,0,True,caught,AD Mascarenhas
A Nehra,3,2,3,2,0,0,False,,
AB Dinda,4,2,3,2,0,0,True,run out,
