Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DA Warner,11,6,9,2,4,0,True,run out,
V Sehwag,1,0,1,0,0,0,True,caught,IK Pathan
G Gambhir,12,26,7,6,20,0,True,run out,
PD Collingwood,7,4,5,4,0,0,True,lbw,PP Chawla
KD Karthik,35,17,23,13,4,0,True,caught,IK Pathan
DL Vettori,4,2,2,2,0,0,True,bowled,PP Chawla
M Manhas,28,26,9,22,4,0,True,bowled,J Theron
R Bhatia,4,1,4,1,0,0,True,caught,Yuvraj Singh
MF Maharoof,1,0,2,0,0,0,True,bowled,L Ablish
A Mishra,9,10,3,10,0,0,False,,
A Nehra,4,1,3,1,0,0,True,caught,IK Pathan
