Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
RV Uthappa,7,14,4,2,12,0,True,caught,DS Kulkarni
G Gambhir,3,1,2,1,0,0,True,caught,CH Morris
MK Pandey,20,21,9,9,12,0,True,caught,DS Kulkarni
YK Pathan,34,44,16,18,20,6,True,caught,SR Watson
AD Russell,19,37,8,9,16,12,True,caught,CH Morris
SA Yadav,1,0,1,0,0,0,True,caught,CH Morris
Shakib Al Hasan,11,13,7,5,8,0,True,caught,CH Morris
Azhar Mahmood,7,6,6,2,4,0,True,caught,JP Faulkner
PP Chawla,1,0,1,0,0,0,True,caught,SR Watson
UT Yadav,11,24,6,2,16,6,False,,
M Morkel,3,4,0,4,0,0,False,,
