Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
MJ Lumb,2,0,2,0,0,0,True,caught,MF Maharoof
NV Ojha,14,27,5,5,16,6,True,caught,A Mishra
FY Fazal,2,0,2,0,0,0,True,lbw,MF Maharoof
AA Jhunjhunwala,5,2,4,2,0,0,True,run out,
AC Voges,17,15,7,11,4,0,True,caught,A Mishra
YK Pathan,14,24,7,4,8,12,True,caught,A Mishra
P Dogra,25,20,12,14,0,6,True,stumped,S Ladda
SK Warne,1,0,2,0,0,0,True,run out,
S Narwal,9,12,5,4,8,0,True,caught,PD Collingwood
SW Tait,12,11,6,5,0,6,True,stumped,V Sehwag
SK Trivedi,5,7,3,1,0,6,False,,
