Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
UBT Chand,10,18,4,4,8,6,True,caught,R Vinay Kumar
DA Warner,9,15,5,1,8,6,True,caught,Z Khan
Y Venugopal Rao,24,36,5,14,16,6,True,caught,M Muralitharan
DPMD Jayawardene,14,9,6,9,0,0,True,caught,P Parameswaran
LRPL Taylor,24,55,7,15,28,12,True,caught,R Vinay Kumar
NV Ojha,12,13,4,9,4,0,True,caught,Z Khan
AD Russell,15,31,4,9,4,18,True,caught,P Parameswaran
IK Pathan,4,4,1,4,0,0,True,caught,Z Khan
P Negi,4,6,2,2,4,0,False,,
UT Yadav,2,0,2,0,0,0,True,caught,P Parameswaran
