Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
KP Pietersen,16,13,10,9,4,0,True,bowled,R Bhatia
MA Agarwal,10,17,3,5,12,0,True,caught,JP Faulkner
KD Karthik,8,3,5,3,0,0,True,caught,DS Kulkarni
JP Duminy,8,8,5,2,0,6,True,caught,PV Tambe
MK Tiwary,43,61,15,29,20,12,False,,
LRPL Taylor,5,4,2,4,0,0,True,caught and bowled,R Bhatia
KM Jadhav,3,3,0,3,0,0,True,run out,
S Nadeem,4,1,3,1,0,0,True,bowled,BCJ Cutting
Imran Tahir,6,4,5,0,4,0,True,bowled,STR Binny
R Shukla,12,14,4,6,8,0,True,caught,KK Cooper
S Kaul,2,2,0,2,0,0,False,,
