Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SC Ganguly,31,33,15,13,8,12,True,caught,R Vinay Kumar
CH Gayle,15,34,6,4,24,6,True,caught,JH Kallis
BB McCullum,36,45,19,13,20,12,True,caught,A Kumble
MK Tiwary,2,0,2,0,0,0,True,caught,JH Kallis
AD Mathews,2,1,1,1,0,0,True,caught,R Vinay Kumar
WP Saha,15,13,8,7,0,6,True,caught,DW Steyn
CA Pujara,8,16,3,4,0,12,True,run out,
AB Agarkar,6,6,2,6,0,0,False,,
AB Dinda,1,0,1,0,0,0,True,run out,
I Sharma,2,0,2,0,0,0,True,caught,R Vinay Kumar
BAW Mendis,1,1,0,1,0,0,False,,
