Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
K Goel,20,18,12,8,4,6,True,run out,
IK Pathan,3,6,1,6,0,0,True,caught,A Nehra
KC Sangakkara,56,94,17,36,52,6,True,caught,Harbhajan Singh
Yuvraj Singh,9,18,1,8,4,6,True,caught,SM Pollock
RR Sarwan,9,7,3,7,0,0,True,caught,A Nehra
DPMD Jayawardene,7,12,1,6,0,6,True,caught,Harbhajan Singh
S Sohal,4,0,4,0,0,0,True,caught,DS Kulkarni
B Lee,7,16,4,2,8,6,False,,
PP Chawla,1,0,1,0,0,0,True,lbw,Harbhajan Singh
S Sreesanth,1,0,1,0,0,0,True,caught,DS Kulkarni
VRV Singh,1,4,1,0,4,0,True,run out,
