Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
PP Ojha,4,44,3,18,20,6,0,0
DW Steyn,4,17,17,5,12,0,1,2
I Sharma,4,22,15,8,8,6,4,0
DT Christian,3,25,6,13,12,0,0,0
A Mishra,4,28,9,14,8,6,0,0
