Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
BB McCullum,3,1,2,1,0,0,True,caught,RP Singh
CH Gayle,12,10,10,0,4,6,True,caught,RP Singh
SC Ganguly,12,1,11,1,0,0,True,caught,Harmeet Singh
BJ Hodge,33,31,15,15,16,0,True,caught,SB Styris
A Chopra,18,11,15,3,8,0,True,stumped,PP Ojha
LR Shukla,6,8,4,2,0,6,True,stumped,PP Ojha
MC Henriques,8,6,4,6,0,0,True,caught,SB Styris
AB Agarkar,3,7,1,1,0,6,True,run out,
M Kartik,10,10,1,10,0,0,False,,
I Sharma,8,9,6,3,0,6,True,bowled,RP Singh
AB Dinda,2,2,1,2,0,0,True,bowled,RP Singh
