Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
WP Saha,20,22,7,10,12,0,True,lbw,M Markande
S Dhawan,26,45,8,13,32,0,True,caught,M Markande
KS Williamson,4,6,1,2,4,0,True,caught,Mustafizur Rahman
MK Pandey,8,11,2,7,4,0,True,caught,M Markande
Shakib Al Hasan,12,12,4,8,4,0,True,bowled,M Markande
DJ Hooda,25,32,5,22,4,6,False,,
YK Pathan,14,14,6,6,8,0,True,caught,JJ Bumrah
Rashid Khan,1,0,1,0,0,0,True,caught,JJ Bumrah
S Kaul,4,0,4,0,0,0,True,caught and bowled,Mustafizur Rahman
Sandeep Sharma,2,0,2,0,0,0,True,caught,Mustafizur Rahman
B Stanlake,2,5,0,1,4,0,False,,
