Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
NV Ojha,18,16,11,12,4,0,True,caught,JH Kallis
MJ Lumb,16,10,11,6,4,0,True,stumped,A Kumble
DR Martyn,24,19,10,15,4,0,True,bowled,P Kumar
AA Jhunjhunwala,7,5,5,1,4,0,True,bowled,JH Kallis
YK Pathan,24,26,12,10,4,12,True,run out,
P Dogra,9,3,6,3,0,0,True,bowled,P Kumar
S Narwal,1,0,1,0,0,0,True,caught,P Kumar
M Morkel,9,2,8,2,0,0,True,stumped,A Kumble
SK Warne,7,4,4,4,0,0,True,bowled,A Kumble
MM Patel,1,0,2,0,0,0,True,run out,
SK Trivedi,1,0,1,0,0,0,False,,
