Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
VS Malik,4,25,10,13,12,0,1,0
JP Faulkner,4,34,13,10,12,12,3,1
SR Watson,3,34,4,8,20,6,1,1
SK Trivedi,4,23,12,17,0,6,2,1
KK Cooper,4,32,11,10,16,6,3,2
STR Binny,1,11,1,5,0,6,0,1
