Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SR Watson,14,16,6,6,4,6,True,caught,HH Pandya
AT Rayudu,19,22,9,6,16,0,True,lbw,M Markande
SK Raina,6,4,3,4,0,0,True,caught,HH Pandya
MS Dhoni,5,5,1,5,0,0,True,lbw,M Markande
KM Jadhav,20,24,12,8,4,12,False,,
RA Jadeja,13,12,5,8,4,0,True,caught,Mustafizur Rahman
DJ Bravo,29,68,8,14,12,42,True,caught,JJ Bumrah
DL Chahar,1,0,1,0,0,0,True,stumped,M Markande
Harbhajan Singh,5,8,2,4,4,0,True,caught,MJ McClenaghan
MA Wood,3,1,4,1,0,0,True,caught,HH Pandya
Imran Tahir,2,2,0,2,0,0,False,,
