Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
IK Pathan,2,24,5,4,20,0,2,1
A Nehra,3,28,5,10,12,6,0,1
J Botha,4,23,10,15,8,0,4,1
RE van der Merwe,4,17,13,9,8,0,0,1
UT Yadav,3,19,9,7,12,0,0,0
AB Agarkar,1,4,2,4,0,0,0,0
