Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AC Blizzard,11,10,7,2,8,0,True,caught,S Aravind
SR Tendulkar,24,40,8,12,28,0,True,stumped,J Syed Mohammad
Harbhajan Singh,7,13,2,3,4,6,True,caught,S Aravind
RG Sharma,15,13,5,9,4,0,True,caught,DL Vettori
JEC Franklin,16,16,7,10,0,6,True,bowled,Z Khan
AT Rayudu,1,0,1,0,0,0,True,lbw,DL Vettori
KA Pollard,6,3,3,3,0,0,True,caught,DL Vettori
R Sathish,20,18,10,14,4,0,False,,
SL Malinga,5,7,3,1,0,6,True,caught,J Syed Mohammad
AN Ahmed,13,18,5,8,4,6,False,,
