Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
PP Shaw,5,4,4,0,4,0,True,caught,DL Chahar
SS Iyer,31,44,7,22,16,6,True,stumped,RA Jadeja
S Dhawan,13,19,5,9,4,6,True,bowled,Harbhajan Singh
RR Pant,3,5,1,1,4,0,True,caught,Imran Tahir
CA Ingram,5,1,4,1,0,0,True,lbw,RA Jadeja
AR Patel,9,9,3,5,4,0,True,caught,Imran Tahir
SE Rutherford,4,2,3,2,0,0,True,caught,Imran Tahir
CH Morris,1,0,1,0,0,0,True,stumped,RA Jadeja
J Suchith,15,6,9,6,0,0,True,run out,
A Mishra,11,8,6,4,4,0,True,caught,Imran Tahir
TA Boult,1,1,0,1,0,0,False,,
