Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SR Watson,10,11,2,7,4,0,True,caught,R Ashwin
R Dravid,16,20,8,12,8,0,True,caught,DE Bollinger
AM Rahane,36,52,11,24,28,0,True,caught,DJ Bravo
LRPL Taylor,8,6,5,6,0,0,True,caught,JA Morkel
AL Menaria,5,2,4,2,0,0,True,caught,R Ashwin
J Botha,17,14,6,14,0,0,True,caught and bowled,DE Bollinger
AS Raut,14,19,4,9,4,6,True,run out,
DH Yagnik,7,3,5,3,0,0,True,bowled,DE Bollinger
A Singh,2,1,1,1,0,0,True,caught and bowled,SK Raina
SK Warne,2,0,2,0,0,0,True,caught,SK Raina
