Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
NV Ojha,12,22,7,4,0,18,True,caught,CK Langeveldt
RJ Quiney,2,1,1,1,0,0,True,caught,CK Langeveldt
SA Asnodkar,6,4,5,0,4,0,True,run out,
Niraj Patel,22,14,13,10,4,0,True,caught,CK Langeveldt
J Botha,6,8,4,0,8,0,True,bowled,AB Agarkar
YK Pathan,14,9,10,5,4,0,True,run out,
RA Jadeja,19,14,11,10,4,0,True,bowled,SS Sarkar
T Henderson,1,0,1,0,0,0,True,run out,
SK Warne,28,18,16,14,4,0,True,bowled,AB Agarkar
MM Patel,6,5,1,5,0,0,False,,
A Singh,2,1,1,1,0,0,False,,
