Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
YK Pathan,1,4,3,4,0,0,0,0
AS Rajpoot,3,21,5,13,8,0,1,1
Shakib Al Hasan,4,32,11,14,12,6,4,1
SP Narine,4,26,12,10,4,12,2,3
JO Holder,3,20,9,10,4,6,2,0
C Munro,1,8,1,4,4,0,0,0
Kuldeep Yadav,4,27,13,11,4,12,2,2
