Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
UBT Chand,1,0,1,0,0,0,True,caught,Harbhajan Singh
DPMD Jayawardene,6,3,5,3,0,0,True,caught,MG Johnson
DA Warner,37,61,14,17,20,24,True,caught,MG Johnson
MC Juneja,38,49,13,25,24,0,True,run out,
BMAJ Mendis,1,0,1,0,0,0,True,caught and bowled,KA Pollard
IK Pathan,12,10,4,10,0,0,True,caught,PP Ojha
KM Jadhav,2,1,1,1,0,0,True,caught and bowled,SL Malinga
S Nadeem,3,2,1,2,0,0,True,caught,PP Ojha
M Morkel,9,23,0,5,12,6,False,,
A Nehra,5,1,4,1,0,0,True,caught,KA Pollard
UT Yadav,4,5,2,1,4,0,False,,
