Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
MJ McClenaghan,4,39,8,13,20,6,1,0
SL Malinga,4,26,12,10,16,0,1,1
JJ Bumrah,4,50,4,20,12,18,2,0
J Suchith,3,35,4,9,20,6,0,0
Harbhajan Singh,2,27,1,11,4,12,3,0
HH Pandya,3,51,2,7,32,12,0,0
