Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
SR Watson,4,24,13,12,12,0,0,0
Kamran Khan,3,30,8,4,20,6,0,1
SK Trivedi,4,32,9,10,16,6,1,2
AC Voges,1,17,1,1,16,0,0,0
SK Warne,4,28,13,8,8,12,0,1
