Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
LMP Simmons,23,35,10,15,20,0,True,caught,Imran Tahir
MEK Hussey,32,56,8,16,28,12,True,run out,
RG Sharma,21,30,5,14,16,0,True,bowled,JD Unadkat
KA Pollard,8,11,3,5,0,6,True,caught,JD Unadkat
AT Rayudu,3,2,1,2,0,0,True,caught,S Nadeem
AP Tare,8,14,3,2,12,0,True,caught,Imran Tahir
Harbhajan Singh,3,2,1,2,0,0,True,caught,WD Parnell
S Gopal,10,11,2,7,4,0,True,run out,
M de Lange,2,1,1,1,0,0,True,caught,Imran Tahir
PP Ojha,2,2,0,2,0,0,True,run out,
JJ Bumrah,2,0,3,0,0,0,False,,
