Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
JD Ryder,14,18,7,8,4,6,True,caught,DW Steyn
MK Pandey,20,23,12,5,12,6,True,bowled,PP Ojha
SC Ganguly,5,0,5,0,0,0,True,caught,DT Christian
RV Uthappa,5,4,4,0,4,0,True,caught and bowled,A Mishra
Yuvraj Singh,17,23,9,5,12,6,True,caught,DT Christian
M Manhas,1,0,1,0,0,0,True,bowled,A Mishra
CJ Ferguson,13,11,6,7,4,0,True,caught and bowled,JP Duminy
MR Marsh,28,37,11,15,4,18,True,bowled,PP Ojha
WD Parnell,15,16,8,10,0,6,True,run out,
B Kumar,1,1,0,1,0,0,False,,
