Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AC Gilchrist,2,0,2,0,0,0,True,caught,Harbhajan Singh
HH Gibbs,15,27,8,3,12,12,True,caught,Z Khan
MD Mishra,11,13,8,3,4,6,True,caught,SL Malinga
A Symonds,5,1,6,1,0,0,True,caught,SL Malinga
RG Sharma,28,45,8,21,12,12,True,bowled,Z Khan
TL Suman,17,15,9,9,0,6,True,caught and bowled,Harbhajan Singh
Y Venugopal Rao,9,7,5,3,4,0,True,caught,KA Pollard
Jaskaran Singh,2,1,1,1,0,0,True,caught,Harbhajan Singh
KAJ Roach,9,10,3,6,4,0,True,bowled,Z Khan
RP Singh,5,1,4,1,0,0,True,bowled,SL Malinga
