Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DJ Harris,14,15,8,3,12,0,True,caught,DE Bollinger
S Dhawan,18,21,10,9,12,0,True,caught,SK Raina
PA Patel,16,20,6,8,12,0,True,bowled,RA Jadeja
CL White,16,23,5,9,8,6,True,caught,SB Jakati
B Chipli,9,10,4,4,0,6,True,bowled,RA Jadeja
DT Christian,3,2,1,2,0,0,True,caught,SB Jakati
MS Gony,8,4,4,4,0,0,True,caught,RA Jadeja
DB Ravi Teja,2,0,2,0,0,0,True,stumped,RA Jadeja
DW Steyn,8,5,4,5,0,0,True,lbw,RA Jadeja
Ankit Sharma,8,15,3,3,0,12,True,caught,DE Bollinger
